,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,cusip,ticker
45998,,,,0.8963010261579807,0.9150706169699996,0.9292177123555032,0.9317454013875978,0.9046391080666281,0.9378393404454368,0.9401627146119225,0.9092285131213032,0.9266027968209736,0.9483356046524939,0.9516686612320839,0.9439514162866848,0.9502547234018174,0.9510278065374186,0.959866197971756,0.9633605924154708,0.965420060059542,0.9719355903822869,0.9741732902711648,63633D104,NHI
64871,,,,,,,,,,,,,,,,,,,,,,,91381U101,UBX
41621,,,,,,,,,,,,,,,,,,,,,,0.9831171116746317,51508J108,LMRK
49991,,,,,,,,,,,,,,0.9703943784452598,0.9533178575039439,0.955920351218586,0.9340277768460078,0.8087453606743675,0.21110732176899072,0.36606742070009546,0.5285608857775878,0.691356012210129,14888D208,CBIO
150182,,,,,,,,,,,,,,0.9703943784452598,0.9533178575039439,0.955920351218586,0.9340277768460078,0.8087453606743675,0.21110732176899072,0.36606742070009546,0.5285608857775878,0.691356012210129,14999R930,CBIO
33542,,,,,,,,,,,,,,,,,,,,,0.3476642270872822,0.576814903889397,90184L102,TWTR
68658,,,,0.8403933838804717,0.855765378876305,0.8447498402310643,0.8917713912078886,0.8820732534366252,0.9011646544732507,0.9335319881325571,0.9175590904327832,0.9373992590087805,0.9238193656067282,0.924916192546333,0.9438657867584359,0.9601624748428808,0.9611467787578885,0.9424264805825876,0.9455039970095598,0.9533771665991179,0.9490481344233574,0.9192972637076364,007973100,AEIS
119912,,,,,,,,,,,,,,,,,,,,,,,04301Q100,ARTEQ
2630,,,,,,,,,,0.8306431959900097,0.8705387853163948,0.9020783928715318,,,,,,,,,,,42222L107,HTRN
87011,,,,,,,,,,,,,,,,,,,,,,,25534V103,DVTS
48073,,,,,,,,,,0.901718195863397,0.9021617087285463,0.9038690664869726,0.9307790647572126,,0.9227740742554229,,0.9147157617026014,,,,,,26779V105,DYII
89302,,,,,,,,,,,,,,,,,,,,,,,003709102,ABLE
46438,,,,0.9586771972490424,0.9593858465775338,0.8792236530286951,0.901629443632537,0.8870587923229433,0.8983256416549175,0.9185991703197189,0.9082908341015636,0.491856577457197,0.5897948497684677,0.7601469059048449,0.7283627385040353,0.6781546953212667,0.6371579589778924,0.7375892557797311,0.8384903396533032,0.8352812396965984,0.7973356991796143,0.9234400874565537,929566107,WNC
4714,,0.9431846443772398,0.8134236896637516,0.8731210769548976,0.8879089288652127,0.9005056412596346,0.914219125340965,0.9249765875553841,0.8322435937816497,0.8025656757095222,0.8421704870726355,0.8020041157835178,,,,,,,,,,,254546104,DNEX
1924,0.8990381757218178,0.9228787162729095,0.9028138122920619,0.9258420575683189,0.9382534723217258,0.9014294826486117,0.9232631162481896,0.7713785383984392,0.7999915610924841,0.8508946719423569,0.8922968790791133,0.83950511333524,0.9224352677225743,0.9369497151362738,0.9114766633866471,0.9054695993131459,0.8889061488954546,0.916035224601201,0.8729068397863131,0.9016266485531323,0.7581166319828274,,081437105,BMS
143726,,,,,,,,,,,,,,,,,,,,,,,711037101,PEOP
14442,,0.8013333166149177,0.8264439056652654,0.8708080857812357,0.41460761840850013,0.8397222900995134,0.8359446457356668,0.7032546482475116,0.7304715739671919,0.772916541395172,0.867597044178661,0.9131930182153376,0.9477202375340392,0.9409183530980076,0.9467420642303221,0.9527925814868233,0.9605082496610796,0.9524554978783686,0.9468515029472189,0.8526566929557408,0.8596216845937628,0.8558186499262483,868168105,SUP
113206,,,,,,,,,,,,,,,0.9624132441476924,0.9735391709597604,0.9772143996860427,,,,,,16939V202,CHLN
95996,,,,,,,,0.8475393789699435,0.8796582354614767,0.919690589793715,0.9388607500307284,0.9464218351034038,0.9456722771703554,0.9593506250720829,0.9447602402600997,0.9402089182466229,0.9364984877227907,0.9407889935980995,0.9459645837612918,0.9268978808789241,,,04269X105,ARRY
135134,,,,,,,,,,,,,,,,,,,0.9655722797390214,0.972819487294216,0.9762693142860316,,76169B102,RXN
75131,,,,,0.9480237081885223,0.927173595322677,0.9362792564417081,0.934409223694391,0.9349320912621686,0.8977861663601556,0.9224717044817685,,,,,,,,,,,,374393106,GVHR
127986,,,,,,,,,,0.6025580619523556,0.24225903017969208,0.357428504982793,0.5169217284374337,,,,,,,,,,92554T103,VIAP
65364,,,,,,,,,,,,,,,,,,,,,,,210373106,CNST
56064,,,,,,,,,,,,,,,,0.7653210422909321,0.4756457963511368,0.6111393506806142,0.5531155547037239,0.5829351755533007,0.7219742317940505,,359678109,FLL
139927,,,,,,,,,,,,,,,,,,0.9766738787866343,0.9815471552604681,0.7185680420955978,0.9004712323745341,0.9079246143994995,28852N109,EFC
29761,,,,,,,,,,,,,,,,,,,,,0.5736639964793977,,03874P101,PETX
57694,,,,0.8000332776994087,0.8323964121933546,0.8864776402385738,0.930824684752509,0.829409530926501,0.8684163174431262,0.8942468950948556,0.9221899620879906,0.9390449353176209,0.9456824511394852,0.9507664031744364,0.9498834951396816,0.9595477884404395,,,,,,,89674K103,TQNT
24734,,,,,,,,,,,,,,,,,,,,,,,83416T100,SCTY
107077,,,,,,,,,,,,0.8554370443237896,0.8763922550102498,0.8915886466260652,0.9055837526462721,0.9071666984415675,0.921205476909517,0.9408584216599987,0.9565395130931409,0.9621514467034882,0.960525838017641,0.9627009561969304,56400P706,MNKD
97356,,,,,,,,,,,,,,,,,,,,,,,14756B102,CKNN
7872,,,0.8917753417028799,0.882081348449874,0.9083697010945653,0.8059450136743941,0.8679357174803484,,,,0.6475402031479666,0.6963544367677726,0.6873453975829534,0.760967963879788,0.8024388897891759,0.8814963705093231,0.8585171994077452,0.8761306936403725,0.9024987280910475,0.5253239892052185,0.8568084338427896,,87960W104,TLGT
42258,,,,,,,,,,0.9129360275813717,0.9562657193107391,0.9264978710842762,0.9303263380339646,,,,,,,,,,29257R208,ENCO
121405,,,,,,,,,,,,,,,,,0.6476782148913488,0.7475400148043472,0.7255045284960662,0.7556265531200984,0.7676732441547208,,25686H100,DLPN
66150,,,,,,,,,,,,,,,,,,,,,,,G04415108,ANDA
45463,,,,0.9691625639881352,0.9552376398173326,0.9393532439936898,0.9379665866825813,0.9330998175671752,0.9120549896956055,0.8683887052512651,0.9028077384206524,0.9235229740722856,0.9473572067770644,0.9555767918050613,0.9750885772384604,0.9606612600112412,0.9702870299716977,0.9711161712945147,0.9795435307757738,0.9830577691996399,0.9875712208888636,0.9900979582933245,254423106,DIN
52786,,,,,,,,,,,,,,,,,,,,,,,68752L100,KIDS
15101,0.9172609168024486,0.9215400181861867,0.9219001580568132,0.9412802182346887,0.932734623374681,0.8980137586803348,0.9038292464693738,0.8068859122919504,0.8448454627561134,0.7306192788016823,0.7792913022421237,0.8205238098985621,,,,,,,,,,,889039103,TOD
6278,,,,,,,,,0.7344705758049382,0.7858585298776404,0.8183416242935339,0.8774907935856401,0.9391753485397085,0.9569002115202453,0.9068260409975506,0.9168430242946046,,,,,,,H27178104,FWLT
39514,,,,,,,,,,,0.9303587555445215,0.9373431774142166,0.9430759440110041,0.9456705988269934,0.9431361653372792,0.9043463557943847,0.9131708726269503,0.9101578776354525,0.918122681046652,0.9360177015904545,0.9451582139784491,,315721407,FCSC
65621,,,,,,,,,,,,,,,,,,,,,,,293614103,ETTX
104127,,,,,,,,,,,,,,,,,,,,,,,02407E104,ABNJ
57170,,,,,,,0.643811562981023,0.6898889127240492,0.7227368794265084,0.7325580430839729,0.8312443662719678,0.32981791253690534,0.46607930517189955,0.6288819903868952,0.6430683086976765,,,,,,,,67001V109,NSTM
33104,,0.6947868995463026,0.16011519553280107,,0.3136774643650503,0.4731791296698912,0.18816775543245656,0.14430003455338422,0.26213706803889,0.45275922051951767,0.5668686550600134,0.683355280257212,0.8442105845250207,0.8509034091391581,0.8522958982734602,0.855918432814016,0.8221393055685633,0.8183033258181771,0.8505537155630869,0.8650672230935313,0.8433330556066286,,69370C100,PTC
51793,,,,,,,,,,,,,,,,,,,,,,,28106W103,EDIT
143395,,,,,,,,,,,,,,,,,,0.35814038268438864,0.5187713041311539,0.6795672390567431,0.8394816645652302,1.0000000000000002,45772F107,IPHI
