,cusip,tic,ticker,extraction_info,totals,extracted,errors,flag_tag,move_error
139039,46269C102,IRDM,IRDM,"13, 13, 0, []",13,13,0,1,1
139508,808524607,SCHA,SCHA,"5, 5, 0, []",5,5,0,1,0
139628,856190103,STBZ,STBZ,"8, 8, 0, []",8,8,0,1,0
139706,400685202,GPRC,GPRC,"6, 6, 0, []",6,6,0,1,0
139777,74039M200,POAI,POAI,"10, 10, 0, []",10,10,0,1,0
140064,095428108,BBLUQ,BBLUQ,"7, 7, 0, []",7,7,0,1,0
140226,78463M107,SPSC,SPSC,"10, 10, 0, []",10,10,0,1,0
140303,29276K101,EGC,EGC,"2, 2, 0, []",2,2,0,1,0
140308,317485100,FNGN,FNGN,"8, 8, 0, []",8,8,0,1,0
140437,053588307,AVEO,AVEO,"9, 9, 0, []",9,9,0,1,0
140480,59047Q103,MERU,MERU,"5, 5, 0, []",5,5,0,1,0
140490,98410X105,XBKS.1,XBKS,"16, 16, 0, []",16,16,0,1,1
140504,75525F104,RLOC,RLOC,"6, 6, 0, []",6,6,0,1,0
140556,88034G208,TNGNQ,TNGNQ,"4, 4, 0, []",4,4,0,1,0
140678,047042106,AFCB,AFCB,"6, 6, 0, []",6,6,0,1,0
140727,723836300,PPSI,PPSI,"11, 11, 0, []",11,11,0,1,0
140802,553573106,MSGN,MSGN,"11, 11, 0, []",11,11,0,1,0
140835,32055Y201,FIBK,FIBK,"24, 24, 0, []",24,24,0,1,0
141183,16890M100,CNBI,CNBI,"9, 9, 0, []",9,9,0,1,0
141212,46333X108,IRWD,IRWD,"11, 11, 0, []",11,11,0,1,0
141225,25960R105,PLOW,PLOW,"10, 10, 0, []",10,10,0,1,0
141519,23336Q109,DSKX,DSKX,"8, 8, 0, []",8,8,0,1,0
141617,39304D102,GDOT,GDOT,"10, 10, 0, []",10,10,0,1,0
141662,674215108,OAS,OAS,"10, 10, 0, []",10,10,0,1,0
141804,71426V306,PTXTQ,PTXTQ,"22, 22, 0, []",22,22,0,1,0
141827,63861C109,NSM,NSM,"6, 6, 0, []",6,6,0,1,1
141948,G1288E103,BIQIF,BIQIF,"8, 8, 0, []",8,8,0,1,0
142024,57776J100,MXL,MXL,"10, 10, 0, []",10,10,0,1,0
142076,29404K106,ENV,ENV,"10, 10, 0, []",10,10,0,1,0
142106,66979P201,NVFY,NVFY,"9, 9, 0, []",9,9,0,1,0
142336,49726K105,KIPS,KIPS,"5, 5, 0, []",5,5,0,1,0
142420,16208T102,CLDT,CLDT,"10, 10, 0, []",10,10,0,1,0
142611,29101U407,EOX,EOX,"11, 11, 0, []",11,11,0,1,0
142889,29482P100,EACIQ,EACIQ,"4, 4, 0, []",4,4,0,1,0
142927,G88615102,TBET,TBET,"1, 1, 0, []",1,1,0,1,0
142939,31847R102,FAF,FAF,"10, 10, 0, []",10,10,0,1,0
143155,36106P101,FURX,FURX,"4, 4, 0, []",4,4,0,1,0
143220,88160R101,TSLA,TSLA,"10, 10, 0, []",10,10,0,1,0
143259,444097109,HPP,HPP,"10, 10, 0, []",10,10,0,1,0
143343,770609105,RHSC,RHSC,"6, 6, 0, []",6,6,0,1,0
143395,45772F107,IPHI,IPHI,"10, 10, 0, []",10,10,0,1,0
143429,493723100,KEYW,KEYW,"9, 9, 0, []",9,9,0,1,0
143447,285409108,ELMD,ELMD,"10, 10, 0, []",10,10,0,1,0
143601,98421D106,XTEG,XTEG,"10, 10, 0, []",10,10,0,1,0
143640,46123D205,INVN,INVN,"5, 5, 0, []",5,5,0,1,0
143726,711037101,PEOP,PEOP,"5, 5, 0, []",5,5,0,1,0
143915,M6787E101,CALL,CALL,"7, 7, 0, []",7,7,0,1,1
144070,29358Y102,ENSV,ENSV,"11, 11, 0, []",11,11,0,1,0
144225,G46188101,HZNP,HZNP,"9, 9, 0, []",9,9,0,1,0
144296,30040P103,EVTC,EVTC,"7, 7, 0, []",7,7,0,1,0
144323,816645204,LEDS,LEDS,"9, 9, 0, []",9,9,0,1,0
144390,69404D108,PACB,PACB,"10, 10, 0, []",10,10,0,1,0
144421,29269A102,ECYT,ECYT,"8, 8, 0, []",8,8,0,1,0
144644,87612G101,TRGP,TRGP,"10, 10, 0, []",10,10,0,1,0
145175,74734R108,QRE,QRE,"4, 4, 0, []",4,4,0,1,0
145187,04962H506,ATOS,ATOS,"7, 7, 0, []",7,7,0,1,0
145196,25250T209,DLGC,DLGC,"7, 7, 0, []",7,7,0,1,0
