,cusip,tic,ticker,extraction_info,totals,extracted,errors
90361,35063R100,FDRY,FDRY,"9, 9, 0, []",9,9,0
90362,021489109,ATGN,ATGN,"12, 12, 0, []",12,12,0
90375,45885A409,INAP,INAP,"20, 20, 2, ['07', '06']",20,20,2
90387,004631107,ACME,ACME,"9, 9, 0, []",9,9,0
90396,888706108,TIVO.1,TIVO,"4, 4, 0, []",4,4,0
90406,90336K101,USNU,USNU,"18, 18, 1, ['09']",18,18,1
90411,09247X101,BLK,BLK,"14, 14, 0, []",14,14,0
90435,983759101,XMSR,XMSR,"11, 11, 0, []",11,11,0
90436,52536P934,9796B,9796B,"0, 0, 0, []",0,0,0
90437,485835102,KTHN,KTHN,"0, 0, 0, []",0,0,0
90455,82705T102,SIMG,SIMG,"16, 16, 0, []",16,16,0
90463,77587P103,ROME,ROME,"6, 6, 0, []",6,6,0
90471,90400P101,UGP,UGP,"0, 0, 0, []",0,0,0
90483,03740A106,AOXG,AOXG,"0, 0, 0, []",0,0,0
90493,896882107,TZIX,TZIX,"9, 9, 0, []",9,9,0
90494,46114T508,IWOV,IWOV,"10, 10, 0, []",10,10,0
90496,037243102,ATGYF,ATGYF,"0, 0, 0, []",0,0,0
90505,351645106,FXBY,FXBY,"0, 0, 0, []",0,0,0
90518,17273K109,CIR,CIR,"20, 20, 0, []",20,20,0
90530,00737P104,ADST,ADST,"0, 0, 0, []",0,0,0
90531,29410P107,EPCYY,EPCYY,"0, 0, 0, []",0,0,0
90535,92231M109,VASC,VASC,"16, 16, 4, ['07', '16', '14', '15']",16,16,4
90544,69325Q105,PCTI,PCTI,"20, 20, 0, []",20,20,0
90556,913201109,UWBKQ,UWBKQ,"0, 0, 0, []",0,0,0
90562,M81873107,RDWR,RDWR,"0, 0, 0, []",0,0,0
90575,911359008,0123A,0123A,"0, 0, 0, []",0,0,0
90585,M6184R119,JCDAF,JCDAF,"0, 0, 0, []",0,0,0
90596,055640205,BTQNF,BTQNF,"0, 0, 0, []",0,0,0
90608,608328936,9807B,9807B,"0, 0, 0, []",0,0,0
90621,174715102,CIZN,CIZN,"20, 20, 0, []",20,20,0
90645,573083102,MSO,MSO,"0, 0, 0, []",0,0,0
90653,74586Q109,PLSDF,PLSDF,"0, 0, 0, []",0,0,0
90666,82655M107,SIFY,SIFY,"0, 0, 0, []",0,0,0
90679,98156Q108,WWE,WWE,"21, 21, 0, []",21,21,0
90692,11776U300,BSQR,BSQR,"21, 21, 0, []",21,21,0
90704,161048103,CHIC.2,CHIC,"10, 10, 0, []",10,10,0
90706,22766K103,CRSS,CRSS,"0, 0, 0, []",0,0,0
90717,00899U008,0077A,0077A,"0, 0, 0, []",0,0,0
90720,89421L107,TVLS,TVLS,"0, 0, 0, []",0,0,0
90721,653351106,NEXC,NEXC,"0, 0, 0, []",0,0,0
90727,959262106,WNP.Z,WNPZ,"0, 0, 0, []",0,0,0
90729,63935M208,NAVI.1,NAVI,"6, 6, 0, []",6,6,0
90733,871206405,SCMR,SCMR,"17, 17, 0, []",17,17,0
90743,238795108,JDVB,JDVB,"0, 0, 0, []",0,0,0
90757,694347105,PGTK,PGTK,"7, 7, 0, []",7,7,0
90770,70211M109,PTNR,PTNR,"0, 0, 0, []",0,0,0
90782,M29925100,ECTX.1,ECTX,"0, 0, 0, []",0,0,0
