,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,cusip,ticker
30740,,,,,,,,,,0.41445410376105163,0.6288088959751378,0.8027668641341914,0.9190085016197532,0.919832521623324,0.9153054953690333,,,,,,,,,,202736104,CWBS
21708,,,,,,,,,,,,,,,,,,,,,,0.9437300426427376,0.9603713665577848,0.9735607007171684,36866T103,GPRO
38227,,,,,,,,,,,,,,,,,,,,,,0.9437300426427376,0.9603713665577848,0.9735607007171684,38268T103,GPRO
40566,,,,,,,,,,,,,,,,0.9385881723688714,0.9769834687291338,0.902442840180317,0.9192510984903625,0.9368239886867528,,,,,39571U605,GERS
33601,,,,,,,,,,,,,,,,,,,0.309761985774259,0.5226712376135904,0.731936237838148,0.9353007476613896,0.9841577745825401,,87407Q207,TKAT
31097,,,,0.9865919995588319,0.9881459160726495,0.9788799478557634,0.9823695910318698,0.9865387217106583,0.9921798097499148,0.9884815670672976,0.9881450927316179,0.9925350706484194,0.9924567826795189,0.9946730787944875,0.9914208792010842,0.990682973617472,,,,,,,,,33848W106,DFP
58272,,,,,,,,,,,,,,,,,,,,,,,,,87970T208,WRLS
63351,,,,,,,,,,,,,,,,,,,,,,,,,70957E105,WRLS
59483,,,,,,0.9531668074073364,0.9408722216254753,0.9599151788198199,0.9839987266766176,0.9823749209214049,0.9231631385546305,,,,,,,,,,,,,,606850105,MITY
124132,,,,,,,,,,,,,,,,0.9277756110402292,0.940940780694512,0.967964904598608,0.9898371059208904,0.9944843849064786,0.9931056416605498,0.8766481799133182,0.6742948877908114,,758338107,REED
28775,,0.5609494884257095,0.7836360497860037,0.8583727972417042,0.8556613697963079,0.9073184690091667,0.19866767716794312,0.3581907982159574,0.6349947663979235,0.32996816759143505,0.5471496808012442,0.773243272868541,0.9855768762930156,0.9505236468012992,0.9387004655147911,0.9649737458998114,0.9763146583516104,0.9893695013033398,0.985131541318955,0.9910668328627192,0.9853723904629605,0.9862678113551824,0.9886879144075121,0.9853848820316594,000868109,ACNB
44963,,,0.9527031949284978,0.9454290234843006,0.9435660894744483,0.8995869792688037,0.8495501967047866,0.8859926343441152,0.9242566740801914,0.960737216119426,0.963337926412056,0.9567259247317367,0.9641509578589353,0.9484938634038302,0.9617996044479867,0.9382423412928375,0.9523864156970824,0.9644604468143863,0.9752010797507529,0.9487466427404975,0.9503280879095067,0.9076871476725036,0.9246398820525848,,405024100,HAE
15333,0.7407862323379449,0.7480167500697519,0.9094143928686925,0.9200120744599986,0.5558122240395561,,0.6624953227231223,0.7719497993262445,0.8941186051779506,0.9227978199395199,0.9285283965835496,0.9577035103483654,0.9819030895820978,0.9792582431176321,0.9705384617070582,0.9737601538355559,0.9313866580653393,0.94886933452109,0.9606349621567912,0.9721014662693319,0.9745324149370136,0.9113990155610865,0.8849713886496801,0.926406112179533,896522109,TRN
96642,,,,,,,,,,,,,,,,,,,,,,,,,55970P203,MDOR
25309,,,,,,,,,,,,,,,,,,,,,,,,,87160C106,SYNX
